Date,Store,Region,StoreType,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
2026-06-01,101,Region_A,StoreType_A,11739.61,819,1,0,0,0
2026-06-01,102,Region_A,StoreType_B,13470.3,825,1,0,0,0
2026-06-01,103,Region_B,StoreType_A,11233.04,790,1,0,0,0
2026-06-01,104,Region_B,StoreType_C,13308.26,863,1,0,0,0
2026-06-01,105,Region_C,StoreType_A,11832.99,781,1,0,0,0
2026-06-01,106,Region_C,StoreType_B,10888.02,781,1,0,0,0
2026-06-01,107,Region_D,StoreType_C,9873.09,809,1,0,0,0
2026-06-01,108,Region_D,StoreType_A,10106.26,731,1,0,0,0
2026-06-02,101,Region_A,StoreType_A,11291.72,759,1,0,0,0
2026-06-02,102,Region_A,StoreType_B,9770.39,763,1,0,0,0
2026-06-02,103,Region_B,StoreType_A,12208.54,858,1,0,0,0
2026-06-02,104,Region_B,StoreType_C,10257.82,802,1,0,0,0
2026-06-02,105,Region_C,StoreType_A,11384.56,778,1,0,0,0
2026-06-02,106,Region_C,StoreType_B,11257.98,753,1,0,0,0
2026-06-02,107,Region_D,StoreType_C,10966.22,775,1,0,0,0
2026-06-02,108,Region_D,StoreType_A,12960.12,775,1,0,0,0
2026-06-03,101,Region_A,StoreType_A,10571.37,799,1,0,0,0
2026-06-03,102,Region_A,StoreType_B,10845.11,832,1,0,0,0
2026-06-03,103,Region_B,StoreType_A,9815.9,808,1,0,0,0
2026-06-03,104,Region_B,StoreType_C,10993.23,746,1,0,0,0
2026-06-03,105,Region_C,StoreType_A,12190.98,829,1,0,0,0
2026-06-03,106,Region_C,StoreType_B,11240.25,795,1,0,0,0
2026-06-03,107,Region_D,StoreType_C,10090.78,740,1,0,0,0
2026-06-03,108,Region_D,StoreType_A,12315.23,781,1,0,0,0
2026-06-04,101,Region_A,StoreType_A,10068.48,813,1,0,0,0
2026-06-04,102,Region_A,StoreType_B,11398.78,812,1,0,0,0
2026-06-04,103,Region_B,StoreType_A,11760.66,772,1,0,0,0
2026-06-04,104,Region_B,StoreType_C,13134.35,841,1,0,0,0
2026-06-04,105,Region_C,StoreType_A,10822.77,766,1,0,0,0
2026-06-04,106,Region_C,StoreType_B,12740.24,813,1,0,0,0
2026-06-04,107,Region_D,StoreType_C,11136.22,780,1,0,0,0
2026-06-04,108,Region_D,StoreType_A,9863.74,755,1,0,0,0
2026-06-05,101,Region_A,StoreType_A,13418.07,832,1,0,0,0
2026-06-05,102,Region_A,StoreType_B,12516.28,797,1,0,0,0
2026-06-05,103,Region_B,StoreType_A,11172.85,814,1,0,0,0
2026-06-05,104,Region_B,StoreType_C,13305.35,814,1,0,0,0
2026-06-05,105,Region_C,StoreType_A,13069.3,798,1,0,0,0
2026-06-05,106,Region_C,StoreType_B,10762.97,695,1,0,0,0
2026-06-05,107,Region_D,StoreType_C,11355.38,803,1,0,0,0
2026-06-05,108,Region_D,StoreType_A,9728.28,803,1,0,0,0
2026-06-06,101,Region_A,StoreType_A,5896.77,395,1,0,0,0
2026-06-06,102,Region_A,StoreType_B,5953.69,429,0,0,0,0
2026-06-06,103,Region_B,StoreType_A,5322.89,383,1,0,0,0
2026-06-06,104,Region_B,StoreType_C,6225.9,418,0,0,0,0
2026-06-06,105,Region_C,StoreType_A,5880.09,389,1,0,0,0
2026-06-06,106,Region_C,StoreType_B,6280.61,401,0,0,0,0
2026-06-06,107,Region_D,StoreType_C,5431.12,385,1,0,0,0
2026-06-06,108,Region_D,StoreType_A,4995.56,392,0,0,0,0
2026-06-07,101,Region_A,StoreType_A,5999.37,405,1,0,0,0
2026-06-07,102,Region_A,StoreType_B,5687.4,400,0,0,0,0
2026-06-07,103,Region_B,StoreType_A,5192.23,371,1,0,0,0
2026-06-07,104,Region_B,StoreType_C,5320.15,393,0,0,0,0
2026-06-07,105,Region_C,StoreType_A,5934.0,396,1,0,0,0
2026-06-07,106,Region_C,StoreType_B,6428.05,437,0,0,0,0
2026-06-07,107,Region_D,StoreType_C,5836.32,405,1,0,0,0
2026-06-07,108,Region_D,StoreType_A,5223.01,361,0,0,0,0
2026-06-08,101,Region_A,StoreType_A,18904.73,1083,1,1,0,0
2026-06-08,102,Region_A,StoreType_B,15887.32,1069,1,1,0,0
2026-06-08,103,Region_B,StoreType_A,14119.2,1078,1,1,0,0
2026-06-08,104,Region_B,StoreType_C,17574.05,1141,1,1,0,0
2026-06-08,105,Region_C,StoreType_A,15044.6,1122,1,1,0,0
